大类（层级 1：宏观本质）,中类（层级 2：结构/功能亚型）,小类（层级 3：具体属性/用途细分）,物品清单（穷尽式）,是否收纳,容器,位置
未分类,,,,,,
,,,,,,
I. 电子设备与信息处理,信息处理与网络,计算机主机/配件,电脑、内存条、网卡 (J3455)、散热器、鼠标、键盘、废旧笔记本电脑，,是,电脑 纸箱,主卧楼上
I. 电子设备与信息处理,,网络设备,路由器 (N1旁路由、小米路由器、蒲公英旁路由)、光猫、水星交换机、网线水晶头、网线,是,电脑 纸箱,主卧楼上
I. 电子设备与信息处理,信息储存介质,存储设备,移动硬盘、QNAP NAS、U 盘、SD 卡，读卡器,是,nas 前面的塑料盒子,
I. 电子设备与信息处理,人机交互与外设,输入设备,速录笔、有线耳机、无线耳机、耳机套,,,
I. 电子设备与信息处理,能源与连接,电源用品 ,UPS、电源线、排插、,是,,
I. 电子设备与信息处理,移动设备与穿戴,设备本体,运动手环、手机、ipad  2017 尸体,是,,卧室
I. 电子设备与信息处理,移动设备与穿戴,电池类,电池（5号和7号）,是,数据线充电器盒子,次卧
I. 电子设备与信息处理,移动设备与穿戴,移动充电设备,充电器（USB 充电头、手环充电器、电源适配器、牙刷充电器）、充电宝,是,数据线充电器盒子,次卧
I. 电子设备与信息处理,移动设备与穿戴,数据线/转接器,数据线（C to C、USB-MicroUSB、C-L 线、USB-L 线）、转接器、数据线保护套,是,数据线充电器盒子,次卧
I. 电子设备与信息处理,移动设备与穿戴,配件与保护,手机壳、镜头膜、手机维修工具、贴膜工具类、手机膜、手机防水袋、定位器、运动手环带、手表充电器、表带、擦屏幕的布、微软 pad 内胆包、usb 网线转换器,是,手机电子产品配件箱,次卧
I. 电子设备与信息处理,移动设备与穿戴,显示/采集设备,三脚架、八爪鱼三脚架、磁吸反光镜、手机支架、麦克风类（无线收音麦克风）,是,手机电子产品配件箱,次卧
I. 电子设备与信息处理,娱乐与电视设备,电视/影音设备,Apple TV、电视盒子、乐视电视,是,,
I. 电子设备与信息处理,包装盒（配件）,设备原装盒,电子产品原装盒、Apple Watch 盒子、AirPods 盒子、华为耳机盒、iPhone 12 手机盒、Apple TV 盒子、K70E 盒子、牙刷盒子、MacBook 盒子、红光盒子、红光头戴盒子、超声治疗仪 盒子,是,纸箱,主卧楼上
I. 电子设备与信息处理,遥控器,不可归类遥控器,不知名遥控器,是,客厅杂物盒子,客厅
II. 容器、储存与包装,食品储存容器,玻璃材质容器,小玻璃罐、迷你玻璃罐、高硼硅玻璃瓶、滴管、滴瓶、烧杯、高硼硅玻璃罐,是,塑料收纳盒 ,吧台
II. 容器、储存与包装,食品储存容器,塑料/其他材质容器,食品圆形分装盒、食品塑料分装罐、米桶、食品小样分装盒、冰块模具、塑料罐、空茶罐、塑料酒壶、茶盒、,是,口袋,客厅塑料柜
II. 容器、储存与包装,液体饮用容器,饮具,酒杯、玻璃水杯、塑料水杯、杯套,是 ,箱子,次卧楼上
II. 容器、储存与包装,液体饮用容器,分装滴瓶/喷瓶,分装滴瓶/喷瓶,是 ,口袋,客厅塑料柜
II. 容器、储存与包装,杂物收纳与包装,收纳箱/袋,整理箱、纸箱、裹箱子的透明膜、分装盒、分装袋,否,,主卧楼上
II. 容器、储存与包装,杂物收纳与包装,封口/密封用品,封口夹、扎带、自封袋,,,
II. 容器、储存与包装,测量/分装工具,液体测量,量筒、量杯、米桶,是 ,,
III. 工具与机械设备,家用电器与设备,大型/加热电器,电扇、大红光、红光毯（红光毯电源）、筋膜枪,是 ,,
III. 工具与机械设备,家用电器与设备,烹饪电器,电压力锅、微波炉、酸奶机、绞肉机、慢炖锅、、迷你豆浆机,是 ,,
III. 工具与机械设备,家用电器与设备,小型电器,去毛球机、电热夹板、红光鼻子仪器、雾化器、电脉冲理疗仪、驱蚊机、加热垫、电动推子（理发推子）、超声理疗仪、红光护手、红光护腰、红光促智仪,是 ,袋子,
III. 工具与机械设备,家用电器与设备,电器配件,大红光挂具、,是 ,,客厅茶几抽屉
III. 工具与机械设备,手动工具,切割/修理/安装 工具,美工刀、卷尺、螺丝、扳手、绑带、管道卡扣器、万向轮、胶布、双面胶、电胶布、胶带、自封胶布、胶棒、高强度铸工胶、砂纸、针（针线工具）、线（针线工具），夹子，磁铁、蓝丁胶、透明软管、软尺、头灯、冰箱清洗工具、电子挂钩秤,是 ,工具箱,客厅
III. 工具与机械设备,手动工具,厨卫用具（非电器）,刀、叉子、勺子、烧烤刷、研磨钵、夏威夷果开果器、硅胶漏斗、红酒开瓶器、开核桃器、烤红薯袋子、搅拌器（打蛋器）、一次性手套、洗杯子刷子,是,,
III. 工具与机械设备,手动工具,文具与办公,夹子、尺子、白板擦、白板，各种笔,是,,
III. 工具与机械设备,检测与测量设备,电子测量,测电笔、电磁辐射检测仪、功率测试器、电池电量测试器、电线检测仪,是,工具箱,
III. 工具与机械设备,检测与测量设备,化学测量,不锈钢测试液、,是,,
III. 工具与机械设备,检测与测量设备,温度/物理测量,杯子温度贴、电温度计，usb温度计,是,,
III. 工具与机械设备,检测与测量设备,物理测量,卷尺、软尺,是,,
III. 工具与机械设备,日用工具,个人护理工具,刮痧板、指甲刀相关（锉刀）、掏耳勺、痒痒挠、筋膜枪配件、,是,,客厅抽屉
IV. 化成品与消耗品,食品与饮品,饮品类,牛奶（A2 奶、纯牛奶）、咖啡、可可粉、苹果醋、茶叶,,,
IV. 化成品与消耗品,食品与饮品,原料/辅料,冰糖、食用明胶、小麦纤维素、助糖 3 号、糯米纸、,,,
IV. 化成品与消耗品,个人护理与健康品,面部护理,洗面奶、刮胡刀、刮胡刀头、刮胡膏护肤品、凡士林、面霜，醒肤露，精华原液、面膜、唇膏（蜂蜡、唇膏制作工具、唇膏管）、防晒霜、痘痘贴、,是,,
IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,牙刷、牙刷更换头、牙线、牙膏、呼吸贴、奶嘴,是,,
IV. 化成品与消耗品,个人护理与健康品,发部护理,发胶、发膜、染发剂、米诺地尔,是,,
IV. 化成品与消耗品,个人护理与健康品,耳部护理,耳塞、,是,,
IV. 化成品与消耗品,个人护理与健康品,眼部护理,眼药水、蒸汽眼罩、眼罩,是,,
IV. 化成品与消耗品,个人护理与健康品,鼻子护理,祛疤贴、止汗剂、止汗膏、按摩精油、护手霜、人体润滑油,是,,
IV. 化成品与消耗品,个人护理与健康品,身体护理,,是,,
IV. 化成品与消耗品,个人护理与健康品,身体护理贴剂,艾草贴、艾草暖贴、暖足贴、暖宝宝、,是,,
IV. 化成品与消耗品,外在形象管理用品,香水类,香水分装工具、香水小样、大牌香水、衣物香氛，,是,,次卧
IV. 化成品与消耗品,环境优化消耗品,香熏,香熏,是,,同上
IV. 化成品与消耗品,清洁消毒剂,液态清洁剂,沐浴露、洗发露、洗手液,是,,
IV. 化成品与消耗品,清洁消毒剂,消毒剂,消毒用品（酒精消毒液、碘伏、过氧化氢、酒精棉片、紫药水）、,是,,主卧楼上
IV. 化成品与消耗品,清洁消毒剂,鞋子相关,物资干洗剂,,,鞋柜
IV. 化成品与消耗品,清洁工具,清洁工具,（洗碗擦）、洗碗布,,,
IV. 化成品与消耗品,印刷品,印刷品/卡片,标签纸、空白笔记本、旧本子、打印纸,是,,
IV. 化成品与消耗品,纸制品,纸巾/湿巾,纸巾、手帕纸巾、卷纸、湿巾、婴儿湿巾,是,,客厅塑料柜子
,,,,,,
V. 织物,床上与浴用织物,床上用品,床单被套、枕套、枕头、棉被,,,
V. 织物,床上与浴用织物,卫浴用品,毛巾（新毛巾、旧毛巾）,,,
V. 织物,服装与配饰,上装,T 恤（长袖 t、短袖 t、速干 t）、衬衫（长袖衬衫、短袖衬衫）、秋衣、马甲、速干衣、保暖衣、毛衣、卫衣、外套、羽绒服、牛仔服、长袖睡衣,,,
V. 织物,服装与配饰,下装,裤子、短裤、牛仔裤、运动裤、工装裤、泳裤、速干裤、保暖裤、秋裤、睡裤,,,
V. 织物,服装与配饰,贴身衣物,内裤、袜子（短袜、长袜、五指袜、毛线袜）、秋衣、秋裤,,,
V. 织物,服装与配饰,配饰,丝巾、帽子（鸭舌帽、毛线帽）、佛珠、手串、项链、胸章、纽扣、墨镜、眼镜、手表、戒指、各种鞋带,,,
V. 织物,服装与配饰,泳装,泳镜、泳帽、泳裤,,,
V. 织物,其他软性材料,布艺/垫,麻将桌布,,,
,,,,,,
VI. 医疗与专业耗材,医疗器械,其他器械/工具,医疗夹子、医疗钳子、针灸银针,是,,客厅
VI. 医疗与专业耗材,医疗耗材与试纸,一次性医疗耗材,灌肠器、注射器、针管、防水贴、一次性输液管、尿液试纸、移液管,是,,
VI. 医疗与专业耗材,医疗耗材与试纸,外伤用品,创可贴、医用棉签、医用棉卷,是,,
VI. 医疗与专业耗材,医疗耗材与试纸,防护,口罩,是,,
VI. 医疗与专业耗材,医疗耗材与试纸,分装/辅料,药品分装工具（分装盒、分装袋、分装勺）、切药器、药品分装盒、药品分装袋、塑料漏斗,是,,
VI. 医疗与专业耗材,医疗耗材与试纸,医疗测量工具,体温计,是,,
,,,,,,
VI. 医疗与专业耗材,血糖管理用品,血糖管理,动态血糖仪、采血笔、采血针、血糖仪、小黄盒、胰岛素泵（导管、储药器）、胰岛素泵管路塞子、动态固定贴、血糖试纸、胰岛素（针头、笔）、葡萄糖方糖、米格列醇、胰岛素、胰岛素、胰岛素特充,是,,
VI. 医疗与专业耗材,药物与保健品,内服药物,中药、西药、打虫药,是,药箱,主卧楼上
VI. 医疗与专业耗材,药物与保健品,注射液,葡萄糖注射液、氯化钠注射液、,是,,主卧楼上
VI. 医疗与专业耗材,药物与保健品,外用药,云南白药、红霉素软膏、医用甘油、胶体银溶液,是,药箱,主卧楼上
VI. 医疗与专业耗材,药物与保健品,营养补剂,胶原蛋白肽、碳酸氢钾、,,,
,,,,,,
VII. 运动、娱乐与服饰,运动健身,器材/辅助,引体向上杆（待处理）、滑冰板（待处理）、弹力带、拐杖（待处理）、筋膜枪、,是,,主卧楼上
VII. 运动、娱乐与服饰,娱乐休闲,游戏/棋牌,骰子、纸牌、,是,,客厅抽屉
VII. 运动、娱乐与服饰,娱乐休闲,音乐乐器,锣鼓、鼓棒、铜锣、吉他弦、变调夹,是,,客厅抽屉
VII. 运动、娱乐与服饰,娱乐休闲,垂钓用品,鱼线、鱼漂,是,,客厅抽屉
,,,,,,
信息类,信息类,书籍,《1984》,是,,主卧楼上
信息类,信息类,纪念品,明信片、机票、工作牌、照片、,是,,
信息类,信息类,病历,体检报告、我的病历、家人的病历,是,,
信息类,信息类,学历文件,毕业证，执业资格证书,是,,
信息类,信息类,证件/卡片/合同,护照、卡包、证件、保险合同、工作合同、租房合同,是,,
信息类,信息类,说明书,说明书,是,,
信息类,信息类,,,,,
VIII. 杂项与抽象概念,货币与证件,实体,现金、硬币、纸币,,,
VIII. 杂项与抽象概念,未分类/其他,植物/种子,辣椒种子,,,
VIII. 杂项与抽象概念,未分类/其他,抽象/信仰,占卜工具、占卜棍棍、香薰,,,
VIII. 杂项与抽象概念,未分类/其他,其他工具,钥匙、钥匙扣,,,
