物品名称,原大类,原中类,原小类,新大类,新子类,原容器,原位置
usb温度计,III. 工具与机械设备,检测与测量设备,温度/物理测量,🏠 家居与工具,五金工具/耗材,,
卷尺,III. 工具与机械设备,检测与测量设备,物理测量,🏠 家居与工具,五金工具/耗材,,
软尺,III. 工具与机械设备,检测与测量设备,物理测量,🏠 家居与工具,五金工具/耗材,,
刮痧板,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
指甲刀相关,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
锉刀,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
掏耳勺,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
痒痒挠,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
筋膜枪配件,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
牛奶,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,冲饮/饮品,,
A2 奶,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,冲饮/饮品,,
纯牛奶,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,冲饮/饮品,,
咖啡,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,粮油/调味品,,
可可粉,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,粮油/调味品,,
苹果醋,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,粮油/调味品,,
茶叶,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,冲饮/饮品,,
冰糖,IV. 化成品与消耗品,食品与饮品,原料/辅料,🍎 饮食供应,粮油/调味品,,
食用明胶,IV. 化成品与消耗品,食品与饮品,原料/辅料,🍎 饮食供应,粮油/调味品,,
小麦纤维素,IV. 化成品与消耗品,食品与饮品,原料/辅料,🍎 饮食供应,粮油/调味品,,
助糖 3 号,IV. 化成品与消耗品,食品与饮品,原料/辅料,🍎 饮食供应,粮油/调味品,,
糯米纸,IV. 化成品与消耗品,食品与饮品,原料/辅料,📚 文档资产,办公与文具,,
洗面奶,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
刮胡刀,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
刮胡刀头,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
刮胡膏护肤品,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
凡士林,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
面霜,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,护肤与美妆,,
醒肤露,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
精华原液,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,护肤与美妆,,
面膜,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,护肤与美妆,,
唇膏,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
蜂蜡,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
唇膏制作工具,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
唇膏管,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
防晒霜,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,护肤与美妆,,
痘痘贴,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,护肤与美妆,,
牙刷,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
牙刷更换头,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
牙线,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
牙膏,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
呼吸贴,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
奶嘴,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
发胶,IV. 化成品与消耗品,个人护理与健康品,发部护理,🧼 个人护理,身体洗护,,
发膜,IV. 化成品与消耗品,个人护理与健康品,发部护理,🧼 个人护理,身体洗护,,
染发剂,IV. 化成品与消耗品,个人护理与健康品,发部护理,🧼 个人护理,身体洗护,,
米诺地尔,IV. 化成品与消耗品,个人护理与健康品,发部护理,🧼 个人护理,身体洗护,,
耳塞,IV. 化成品与消耗品,个人护理与健康品,耳部护理,🧼 个人护理,身体洗护,,
眼药水,IV. 化成品与消耗品,个人护理与健康品,眼部护理,🏥 健康医疗,药品/急救,,
蒸汽眼罩,IV. 化成品与消耗品,个人护理与健康品,眼部护理,🧼 个人护理,身体洗护,,
眼罩,IV. 化成品与消耗品,个人护理与健康品,眼部护理,🧼 个人护理,身体洗护,,
祛疤贴,IV. 化成品与消耗品,个人护理与健康品,鼻子护理,🧼 个人护理,身体洗护,,
止汗剂,IV. 化成品与消耗品,个人护理与健康品,鼻子护理,🧼 个人护理,身体洗护,,
止汗膏,IV. 化成品与消耗品,个人护理与健康品,鼻子护理,🧼 个人护理,身体洗护,,
按摩精油,IV. 化成品与消耗品,个人护理与健康品,鼻子护理,🧼 个人护理,身体洗护,,
护手霜,IV. 化成品与消耗品,个人护理与健康品,鼻子护理,🧼 个人护理,护肤与美妆,,
人体润滑油,IV. 化成品与消耗品,个人护理与健康品,鼻子护理,🧼 个人护理,身体洗护,,
艾草贴,IV. 化成品与消耗品,个人护理与健康品,身体护理贴剂,🧼 个人护理,身体洗护,,
艾草暖贴,IV. 化成品与消耗品,个人护理与健康品,身体护理贴剂,🧼 个人护理,身体洗护,,
暖足贴,IV. 化成品与消耗品,个人护理与健康品,身体护理贴剂,🧼 个人护理,身体洗护,,
暖宝宝,IV. 化成品与消耗品,个人护理与健康品,身体护理贴剂,🧼 个人护理,身体洗护,,
香水分装工具,IV. 化成品与消耗品,外在形象管理用品,香水类,🧼 个人护理,护肤与美妆,,次卧
香水小样,IV. 化成品与消耗品,外在形象管理用品,香水类,🧼 个人护理,护肤与美妆,,次卧
大牌香水,IV. 化成品与消耗品,外在形象管理用品,香水类,🧼 个人护理,护肤与美妆,,次卧
衣物香氛,IV. 化成品与消耗品,外在形象管理用品,香水类,🧼 个人护理,护肤与美妆,,次卧
香熏,IV. 化成品与消耗品,环境优化消耗品,香熏,🌀 待定/人工复核,待人工复核,,同上
沐浴露,IV. 化成品与消耗品,清洁消毒剂,液态清洁剂,🏠 家居与工具,清洁用品,,
洗发露,IV. 化成品与消耗品,清洁消毒剂,液态清洁剂,🏠 家居与工具,清洁用品,,
洗手液,IV. 化成品与消耗品,清洁消毒剂,液态清洁剂,🏠 家居与工具,清洁用品,,
消毒用品,IV. 化成品与消耗品,清洁消毒剂,消毒剂,🏠 家居与工具,清洁用品,,主卧楼上
酒精消毒液,IV. 化成品与消耗品,清洁消毒剂,消毒剂,🏠 家居与工具,清洁用品,,主卧楼上
碘伏,IV. 化成品与消耗品,清洁消毒剂,消毒剂,🏠 家居与工具,清洁用品,,主卧楼上
过氧化氢,IV. 化成品与消耗品,清洁消毒剂,消毒剂,🏠 家居与工具,清洁用品,,主卧楼上
酒精棉片,IV. 化成品与消耗品,清洁消毒剂,消毒剂,🏠 家居与工具,清洁用品,,主卧楼上
紫药水,IV. 化成品与消耗品,清洁消毒剂,消毒剂,🏥 健康医疗,药品/急救,,主卧楼上
物资干洗剂,IV. 化成品与消耗品,清洁消毒剂,鞋子相关,👕 织物服饰,鞋靴,,鞋柜
洗碗擦,IV. 化成品与消耗品,清洁工具,清洁工具,🏠 家居与工具,清洁用品,,
洗碗布,IV. 化成品与消耗品,清洁工具,清洁工具,🏠 家居与工具,清洁用品,,
标签纸,IV. 化成品与消耗品,印刷品,印刷品/卡片,📚 文档资产,办公与文具,,
空白笔记本,IV. 化成品与消耗品,印刷品,印刷品/卡片,📚 文档资产,办公与文具,,
旧本子,IV. 化成品与消耗品,印刷品,印刷品/卡片,📚 文档资产,办公与文具,,
打印纸,IV. 化成品与消耗品,印刷品,印刷品/卡片,📚 文档资产,办公与文具,,
纸巾,IV. 化成品与消耗品,纸制品,纸巾/湿巾,📚 文档资产,办公与文具,,客厅塑料柜子
手帕纸巾,IV. 化成品与消耗品,纸制品,纸巾/湿巾,📚 文档资产,办公与文具,,客厅塑料柜子
卷纸,IV. 化成品与消耗品,纸制品,纸巾/湿巾,📚 文档资产,办公与文具,,客厅塑料柜子
湿巾,IV. 化成品与消耗品,纸制品,纸巾/湿巾,📚 文档资产,办公与文具,,客厅塑料柜子
婴儿湿巾,IV. 化成品与消耗品,纸制品,纸巾/湿巾,📚 文档资产,办公与文具,,客厅塑料柜子
床单被套,V. 织物,床上与浴用织物,床上用品,👕 织物服饰,衣物,,
枕套,V. 织物,床上与浴用织物,床上用品,👕 织物服饰,衣物,,
枕头,V. 织物,床上与浴用织物,床上用品,👕 织物服饰,衣物,,
棉被,V. 织物,床上与浴用织物,床上用品,👕 织物服饰,衣物,,
毛巾,V. 织物,床上与浴用织物,卫浴用品,🧼 个人护理,身体洗护,,
新毛巾,V. 织物,床上与浴用织物,卫浴用品,🧼 个人护理,身体洗护,,
旧毛巾,V. 织物,床上与浴用织物,卫浴用品,🧼 个人护理,身体洗护,,
T 恤,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
长袖 t,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
短袖 t,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
速干 t,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
衬衫,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
长袖衬衫,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
短袖衬衫,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
秋衣,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
马甲,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
速干衣,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
保暖衣,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
毛衣,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
卫衣,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
外套,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
羽绒服,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
牛仔服,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
长袖睡衣,V. 织物,服装与配饰,上装,👕 织物服饰,衣物,,
裤子,V. 织物,服装与配饰,下装,👕 织物服饰,衣物,,
短裤,V. 织物,服装与配饰,下装,👕 织物服饰,衣物,,
牛仔裤,V. 织物,服装与配饰,下装,👕 织物服饰,衣物,,
运动裤,V. 织物,服装与配饰,下装,👕 织物服饰,衣物,,
工装裤,V. 织物,服装与配饰,下装,👕 织物服饰,衣物,,
泳裤,V. 织物,服装与配饰,下装,👕 织物服饰,衣物,,
速干裤,V. 织物,服装与配饰,下装,👕 织物服饰,衣物,,
保暖裤,V. 织物,服装与配饰,下装,👕 织物服饰,衣物,,
秋裤,V. 织物,服装与配饰,下装,👕 织物服饰,衣物,,
睡裤,V. 织物,服装与配饰,下装,👕 织物服饰,衣物,,
内裤,V. 织物,服装与配饰,贴身衣物,👕 织物服饰,衣物,,
袜子,V. 织物,服装与配饰,贴身衣物,👕 织物服饰,鞋袜,,
短袜,V. 织物,服装与配饰,贴身衣物,👕 织物服饰,鞋袜,,
长袜,V. 织物,服装与配饰,贴身衣物,👕 织物服饰,鞋袜,,
五指袜,V. 织物,服装与配饰,贴身衣物,👕 织物服饰,鞋袜,,
毛线袜,V. 织物,服装与配饰,贴身衣物,👕 织物服饰,鞋袜,,
秋衣,V. 织物,服装与配饰,贴身衣物,👕 织物服饰,衣物,,
秋裤,V. 织物,服装与配饰,贴身衣物,👕 织物服饰,衣物,,
丝巾,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
帽子,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
鸭舌帽,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
毛线帽,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
佛珠,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
手串,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
项链,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
胸章,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
纽扣,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
墨镜,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
眼镜,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
手表,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
戒指,V. 织物,服装与配饰,配饰,👕 织物服饰,衣物,,
各种鞋带,V. 织物,服装与配饰,配饰,👕 织物服饰,鞋靴,,
泳镜,V. 织物,服装与配饰,泳装,👕 织物服饰,衣物,,
泳帽,V. 织物,服装与配饰,泳装,👕 织物服饰,衣物,,
泳裤,V. 织物,服装与配饰,泳装,👕 织物服饰,衣物,,
麻将桌布,V. 织物,其他软性材料,布艺/垫,👕 织物服饰,衣物,,
医疗夹子,VI. 医疗与专业耗材,医疗器械,其他器械/工具,🏥 健康医疗,药品/急救,,客厅
医疗钳子,VI. 医疗与专业耗材,医疗器械,其他器械/工具,🏥 健康医疗,药品/急救,,客厅
针灸银针,VI. 医疗与专业耗材,医疗器械,其他器械/工具,🏥 健康医疗,医疗仪器/器械,,客厅
灌肠器,VI. 医疗与专业耗材,医疗耗材与试纸,一次性医疗耗材,🏥 健康医疗,医疗仪器/器械,,
注射器,VI. 医疗与专业耗材,医疗耗材与试纸,一次性医疗耗材,🏥 健康医疗,医疗仪器/器械,,
针管,VI. 医疗与专业耗材,医疗耗材与试纸,一次性医疗耗材,🏥 健康医疗,医疗仪器/器械,,
防水贴,VI. 医疗与专业耗材,医疗耗材与试纸,一次性医疗耗材,🏥 健康医疗,医疗仪器/器械,,
一次性输液管,VI. 医疗与专业耗材,医疗耗材与试纸,一次性医疗耗材,🏥 健康医疗,医疗仪器/器械,,
尿液试纸,VI. 医疗与专业耗材,医疗耗材与试纸,一次性医疗耗材,🏥 健康医疗,医疗仪器/器械,,
移液管,VI. 医疗与专业耗材,医疗耗材与试纸,一次性医疗耗材,🏥 健康医疗,医疗仪器/器械,,
创可贴,VI. 医疗与专业耗材,医疗耗材与试纸,外伤用品,🏥 健康医疗,医疗仪器/器械,,
医用棉签,VI. 医疗与专业耗材,医疗耗材与试纸,外伤用品,🏥 健康医疗,医疗仪器/器械,,
医用棉卷,VI. 医疗与专业耗材,医疗耗材与试纸,外伤用品,🏥 健康医疗,医疗仪器/器械,,
口罩,VI. 医疗与专业耗材,医疗耗材与试纸,防护,🏥 健康医疗,医疗仪器/器械,,
药品分装工具,VI. 医疗与专业耗材,医疗耗材与试纸,分装/辅料,🏥 健康医疗,医疗仪器/器械,,
分装盒,VI. 医疗与专业耗材,医疗耗材与试纸,分装/辅料,🏥 健康医疗,医疗仪器/器械,,
分装袋,VI. 医疗与专业耗材,医疗耗材与试纸,分装/辅料,🏥 健康医疗,医疗仪器/器械,,
分装勺,VI. 医疗与专业耗材,医疗耗材与试纸,分装/辅料,🏥 健康医疗,医疗仪器/器械,,
切药器,VI. 医疗与专业耗材,医疗耗材与试纸,分装/辅料,🏥 健康医疗,医疗仪器/器械,,
药品分装盒,VI. 医疗与专业耗材,医疗耗材与试纸,分装/辅料,🏥 健康医疗,医疗仪器/器械,,
药品分装袋,VI. 医疗与专业耗材,医疗耗材与试纸,分装/辅料,🏥 健康医疗,医疗仪器/器械,,
塑料漏斗,VI. 医疗与专业耗材,医疗耗材与试纸,分装/辅料,🏥 健康医疗,医疗仪器/器械,,
体温计,VI. 医疗与专业耗材,医疗耗材与试纸,医疗测量工具,🏥 健康医疗,医疗仪器/器械,,
动态血糖仪,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
采血笔,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
采血针,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
血糖仪,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
小黄盒,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
胰岛素泵,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
导管,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
储药器,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
胰岛素泵管路塞子,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
动态固定贴,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
血糖试纸,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
胰岛素,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
针头,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
笔,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
葡萄糖方糖,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
米格列醇,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
胰岛素,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
胰岛素,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
胰岛素特充,VI. 医疗与专业耗材,血糖管理用品,血糖管理,🏥 健康医疗,医疗仪器/器械,,
中药,VI. 医疗与专业耗材,药物与保健品,内服药物,🏥 健康医疗,药品/急救,药箱,主卧楼上
西药,VI. 医疗与专业耗材,药物与保健品,内服药物,🏥 健康医疗,药品/急救,药箱,主卧楼上
打虫药,VI. 医疗与专业耗材,药物与保健品,内服药物,🏥 健康医疗,药品/急救,药箱,主卧楼上
葡萄糖注射液,VI. 医疗与专业耗材,药物与保健品,注射液,🏥 健康医疗,药品/急救,,主卧楼上
氯化钠注射液,VI. 医疗与专业耗材,药物与保健品,注射液,🏥 健康医疗,药品/急救,,主卧楼上
云南白药,VI. 医疗与专业耗材,药物与保健品,外用药,🏥 健康医疗,药品/急救,药箱,主卧楼上
红霉素软膏,VI. 医疗与专业耗材,药物与保健品,外用药,🏥 健康医疗,药品/急救,药箱,主卧楼上
医用甘油,VI. 医疗与专业耗材,药物与保健品,外用药,🏥 健康医疗,药品/急救,药箱,主卧楼上
胶体银溶液,VI. 医疗与专业耗材,药物与保健品,外用药,🏥 健康医疗,药品/急救,药箱,主卧楼上
胶原蛋白肽,VI. 医疗与专业耗材,药物与保健品,营养补剂,🏥 健康医疗,营养补剂,,
碳酸氢钾,VI. 医疗与专业耗材,药物与保健品,营养补剂,🏥 健康医疗,营养补剂,,
引体向上杆,VII. 运动、娱乐与服饰,运动健身,器材/辅助,🌀 待定/人工复核,待人工复核,,主卧楼上
待处理,VII. 运动、娱乐与服饰,运动健身,器材/辅助,🌀 待定/人工复核,待人工复核,,主卧楼上
滑冰板,VII. 运动、娱乐与服饰,运动健身,器材/辅助,🌀 待定/人工复核,待人工复核,,主卧楼上
待处理,VII. 运动、娱乐与服饰,运动健身,器材/辅助,🌀 待定/人工复核,待人工复核,,主卧楼上
弹力带,VII. 运动、娱乐与服饰,运动健身,器材/辅助,🌀 待定/人工复核,待人工复核,,主卧楼上
拐杖,VII. 运动、娱乐与服饰,运动健身,器材/辅助,🌀 待定/人工复核,待人工复核,,主卧楼上
待处理,VII. 运动、娱乐与服饰,运动健身,器材/辅助,🌀 待定/人工复核,待人工复核,,主卧楼上
筋膜枪,VII. 运动、娱乐与服饰,运动健身,器材/辅助,🌀 待定/人工复核,待人工复核,,主卧楼上
骰子,VII. 运动、娱乐与服饰,娱乐休闲,游戏/棋牌,🌀 待定/人工复核,待人工复核,,客厅抽屉
纸牌,VII. 运动、娱乐与服饰,娱乐休闲,游戏/棋牌,📚 文档资产,办公与文具,,客厅抽屉
锣鼓,VII. 运动、娱乐与服饰,娱乐休闲,音乐乐器,🌀 待定/人工复核,待人工复核,,客厅抽屉
鼓棒,VII. 运动、娱乐与服饰,娱乐休闲,音乐乐器,🌀 待定/人工复核,待人工复核,,客厅抽屉
铜锣,VII. 运动、娱乐与服饰,娱乐休闲,音乐乐器,🌀 待定/人工复核,待人工复核,,客厅抽屉
吉他弦,VII. 运动、娱乐与服饰,娱乐休闲,音乐乐器,🌀 待定/人工复核,待人工复核,,客厅抽屉
变调夹,VII. 运动、娱乐与服饰,娱乐休闲,音乐乐器,🌀 待定/人工复核,待人工复核,,客厅抽屉
鱼线,VII. 运动、娱乐与服饰,娱乐休闲,垂钓用品,🌀 待定/人工复核,待人工复核,,客厅抽屉
鱼漂,VII. 运动、娱乐与服饰,娱乐休闲,垂钓用品,🌀 待定/人工复核,待人工复核,,客厅抽屉
《1984》,信息类,信息类,书籍,📚 文档资产,办公与文具,,主卧楼上
明信片,信息类,信息类,纪念品,🌀 待定/人工复核,待人工复核,,
机票,信息类,信息类,纪念品,📚 文档资产,财务与合同,,
工作牌,信息类,信息类,纪念品,🌀 待定/人工复核,待人工复核,,
照片,信息类,信息类,纪念品,🌀 待定/人工复核,待人工复核,,
体检报告,信息类,信息类,病历,🌀 待定/人工复核,待人工复核,,
我的病历,信息类,信息类,病历,🌀 待定/人工复核,待人工复核,,
家人的病历,信息类,信息类,病历,🌀 待定/人工复核,待人工复核,,
毕业证,信息类,信息类,学历文件,🌀 待定/人工复核,待人工复核,,
执业资格证书,信息类,信息类,学历文件,📚 文档资产,证件与证明,,
护照,信息类,信息类,证件/卡片/合同,📚 文档资产,证件与证明,,
卡包,信息类,信息类,证件/卡片/合同,👕 织物服饰,配件挂饰,,
证件,信息类,信息类,证件/卡片/合同,📚 文档资产,证件与证明,,
保险合同,信息类,信息类,证件/卡片/合同,📚 文档资产,证件与证明,,
工作合同,信息类,信息类,证件/卡片/合同,📚 文档资产,证件与证明,,
租房合同,信息类,信息类,证件/卡片/合同,📚 文档资产,证件与证明,,
说明书,信息类,信息类,说明书,📚 文档资产,办公与文具,,
现金,VIII. 杂项与抽象概念,货币与证件,实体,📚 文档资产,证件与证明,,
硬币,VIII. 杂项与抽象概念,货币与证件,实体,📚 文档资产,证件与证明,,
纸币,VIII. 杂项与抽象概念,货币与证件,实体,📚 文档资产,证件与证明,,
辣椒种子,VIII. 杂项与抽象概念,未分类/其他,植物/种子,🌀 待定/人工复核,待人工复核,,
占卜工具,VIII. 杂项与抽象概念,未分类/其他,抽象/信仰,🏠 家居与工具,五金工具/耗材,,
占卜棍棍,VIII. 杂项与抽象概念,未分类/其他,抽象/信仰,🌀 待定/人工复核,待人工复核,,
香薰,VIII. 杂项与抽象概念,未分类/其他,抽象/信仰,🌀 待定/人工复核,待人工复核,,
钥匙,VIII. 杂项与抽象概念,未分类/其他,其他工具,🏠 家居与工具,五金工具/耗材,,
钥匙扣,VIII. 杂项与抽象概念,未分类/其他,其他工具,🏠 家居与工具,五金工具/耗材,,
